"Time
(UTC)","Altitude
(feet)"
2019-10-04 18:00:04,39665.0
2019-10-04 18:01:00,39665.0
2019-10-04 18:02:33,39665.0
2019-10-04 18:03:00,39665.0
2019-10-04 18:04:00,39665.0
2019-10-04 18:05:15,39665.0
2019-10-04 18:06:00,39665.0
2019-10-04 18:07:16,39665.0
2019-10-04 18:08:00,39665.0
2019-10-04 18:09:00,39665.0
2019-10-04 18:10:00,39665.0
2019-10-04 18:11:00,39665.0
2019-10-04 18:12:00,39665.0
2019-10-04 18:13:36,39665.0
2019-10-04 18:14:00,39665.0
2019-10-04 18:15:00,39665.0
2019-10-04 18:15:28,39665.0
2019-10-04 18:17:00,39665.0
2019-10-04 18:18:00,39665.0
2019-10-04 18:19:00,39665.0
2019-10-04 18:20:00,39665.0
2019-10-04 18:21:07,39665.0
2019-10-04 18:22:12,39665.0
2019-10-04 18:23:00,39665.0
2019-10-04 18:24:00,39665.0
2019-10-04 18:25:03,39665.0
2019-10-04 18:26:00,39665.0
2019-10-04 18:27:06,39665.0
2019-10-04 18:28:15,39665.0
2019-10-04 18:29:00,38015.0
2019-10-04 18:30:00,35815.0
2019-10-04 18:31:00,33615.0
2019-10-04 18:32:00,31415.0
2019-10-04 18:33:00,29215.0
2019-10-04 18:34:00,27015.0
2019-10-04 18:35:00,24815.0
2019-10-04 18:36:00,22615.0
2019-10-04 18:37:00,20415.0
2019-10-04 18:38:00,18215.0
2019-10-04 18:39:55,13998.3333333333
2019-10-04 18:40:56,12575.0
2019-10-04 18:41:00,12481.6666666667
2019-10-04 18:42:00,11081.6666666667
2019-10-04 18:43:00,9681.66666666666
2019-10-04 18:44:00,8281.66666666666
2019-10-04 18:45:00,8281.66666666666
2019-10-04 18:46:00,8281.66666666666
2019-10-04 18:47:00,8281.66666666666
2019-10-04 18:48:00,8281.66666666666
2019-10-04 18:49:00,8281.66666666666
2019-10-04 18:50:00,8281.66666666666
2019-10-04 18:51:00,8281.66666666666
2019-10-04 18:52:00,8281.66666666666
2019-10-04 18:53:00,8281.66666666666
2019-10-04 18:54:00,8281.66666666666
2019-10-04 18:55:00,8281.66666666666
2019-10-04 18:56:00,8281.66666666666
2019-10-04 18:57:00,8281.66666666666
2019-10-04 18:58:00,8281.66666666666
2019-10-04 18:59:00,8281.66666666666
2019-10-04 19:00:00,8281.66666666666
2019-10-04 19:01:00,8281.66666666666
2019-10-04 19:02:00,8281.66666666666
2019-10-04 19:03:00,8281.66666666666
2019-10-04 19:04:00,8281.66666666666
2019-10-04 19:05:00,8281.66666666666
2019-10-04 19:06:00,8281.66666666666
2019-10-04 19:07:00,8281.66666666666
2019-10-04 19:08:00,8281.66666666666
2019-10-04 19:09:00,8281.66666666666
2019-10-04 19:10:00,8281.66666666666
2019-10-04 19:11:00,8281.66666666666
2019-10-04 19:12:00,8281.66666666666
2019-10-04 19:13:00,8281.66666666666
2019-10-04 19:14:00,8281.66666666666
2019-10-04 19:15:00,8281.66666666666
2019-10-04 19:16:00,8281.66666666666
2019-10-04 19:17:00,8281.66666666666
2019-10-04 19:18:00,8281.66666666666
2019-10-04 19:19:00,8281.66666666666
2019-10-04 19:20:00,8281.66666666666
2019-10-04 19:21:00,8281.66666666666
2019-10-04 19:22:00,8281.66666666666
2019-10-04 19:23:00,10481.6666666667
2019-10-04 19:24:00,12681.6666666667
2019-10-04 19:25:00,14881.6666666667
2019-10-04 19:26:00,17081.6666666667
2019-10-04 19:27:00,19281.6666666667
2019-10-04 19:28:00,21481.6666666667
2019-10-04 19:29:00,23681.6666666667
2019-10-04 19:30:00,25881.6666666667
2019-10-04 19:31:00,28081.6666666667
2019-10-04 19:32:00,30281.6666666667
2019-10-04 19:33:00,32481.6666666667
2019-10-04 19:34:00,34681.6666666667
2019-10-04 19:35:00,36881.6666666667
2019-10-04 19:36:00,39081.6666666667
2019-10-04 19:37:00,39300.0
2019-10-04 19:38:00,39300.0
2019-10-04 19:39:00,39300.0
2019-10-04 19:40:00,39300.0
2019-10-04 19:41:03,39300.0
2019-10-04 19:42:03,39300.0
2019-10-04 19:43:03,39300.0
2019-10-04 19:44:03,39300.0
2019-10-04 19:45:03,39300.0
2019-10-04 19:46:03,39300.0
2019-10-04 19:47:03,39300.0
2019-10-04 19:48:03,39300.0
2019-10-04 19:49:03,39300.0
2019-10-04 19:50:03,39300.0
2019-10-04 19:51:03,39300.0
2019-10-04 19:52:03,39300.0
2019-10-04 19:53:03,39300.0
2019-10-04 19:54:03,39300.0
2019-10-04 19:55:03,39300.0
2019-10-04 19:56:03,39300.0
2019-10-04 19:57:03,39300.0
2019-10-04 19:58:03,39300.0
2019-10-04 19:59:03,39300.0
2019-10-04 20:00:03,39300.0
2019-10-04 20:01:03,39300.0
2019-10-04 20:02:03,39300.0
2019-10-04 20:03:03,39300.0
2019-10-04 20:04:03,39300.0
2019-10-04 20:05:03,39300.0
2019-10-04 20:06:03,39300.0
2019-10-04 20:07:03,39300.0
2019-10-04 20:08:03,39300.0
2019-10-04 20:09:03,39300.0
2019-10-04 20:10:03,39300.0
2019-10-04 20:11:03,39300.0
2019-10-04 20:12:03,39300.0
2019-10-04 20:13:03,39300.0
2019-10-04 20:14:03,39300.0
2019-10-04 20:15:03,39300.0
2019-10-04 20:16:03,39300.0
2019-10-04 20:17:03,39300.0
2019-10-04 20:18:03,39300.0
2019-10-04 20:19:03,39300.0
2019-10-04 20:20:03,39300.0
2019-10-04 20:21:03,39300.0
2019-10-04 20:22:03,39300.0
2019-10-04 20:23:03,39300.0
2019-10-04 20:24:03,39300.0
2019-10-04 20:25:03,39300.0
2019-10-04 20:26:03,39300.0
2019-10-04 20:27:03,39300.0
2019-10-04 20:28:03,39300.0
2019-10-04 20:29:03,39300.0
2019-10-04 20:30:03,39300.0
2019-10-04 20:31:03,39300.0
2019-10-04 20:32:03,39300.0
2019-10-04 20:33:03,39300.0
2019-10-04 20:34:03,39300.0
